# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 5 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-112057
# Timestamp: Thu, 15-Aug-2024 02:32:47
Gene ID	Gene Name	'Crohn disease' vs 'normal' .foldChange	'Crohn disease' vs 'normal'.pValue	'oligoarticular juvenile idiopathic arthritis' vs 'normal' .foldChange	'oligoarticular juvenile idiopathic arthritis' vs 'normal'.pValue	'polyarticular juvenile idiopathic arthritis' vs 'normal' .foldChange	'polyarticular juvenile idiopathic arthritis' vs 'normal'.pValue	'systemic-onset juvenile idiopathic arthritis' vs 'normal' .foldChange	'systemic-onset juvenile idiopathic arthritis' vs 'normal'.pValue	'ulcerative colitis (disease)' vs 'normal' .foldChange	'ulcerative colitis (disease)' vs 'normal'.pValue
ENSG00000000003	TSPAN6			0.2	0.53473966889487	0.1	0.845117479020847	0.1	0.806231989423183	-0.4	0.244118998813897
ENSG00000000419	DPM1	0.3	0.018463189111228	0.1	0.706220725341278	0.2	0.161888394536263	0.2	0.144116785591247	0.4	0.0034569080354451
ENSG00000000457	SCYL3					0.1	0.550638192190676	0.1	0.442648422476134		
ENSG00000000460	C1orf112	-0.1	0.593874717091448	0.1	0.598761245149921	0.1	0.541232819953475	0.1	0.662733207079393		
ENSG00000000938	FGR	0.2	0.244613928814742	-0.1	0.540959695840754			0.4	0.13542984512861	0.5	0.0488364011406779
ENSG00000000971	CFH	-0.3	0.471200591312759	-0.3	0.319904331598241	-0.3	0.326697761243965	-0.8	0.0451900130129407	-0.8	0.0164504710992305
ENSG00000001036	FUCA2	0.2	0.167714000843672	-0.1	0.697345660378082					0.3	0.0528095188694263
ENSG00000001084	GCLC	0.1	0.609410559648068	-0.1	0.745107358349978					0.1	0.708555257030843
ENSG00000001167	NFYA	0.1	0.233276105198962	0.2	0.0672084272537869	0.1	0.138804207079391	0.2	0.0821784442890825	0.1	0.288837136770798
ENSG00000001460	STPG1	-0.3	0.115180812404006			-0.2	0.336609486919668	-0.1	0.684092697173027	-0.3	0.195134000029148
ENSG00000001461	NIPAL3	-0.2	0.15566624042807	0.1	0.654146418409794	-0.1	0.566072593862921	-0.1	0.68120786855021	-0.3	0.113730960949579
ENSG00000001497	LAS1L	-0.2	0.0388623872041408	-0.1	0.469238550324029	-0.2	0.0959101125028913	-0.2	0.0612966184101978	-0.4	0.00177282546042773
ENSG00000001561	ENPP4	-0.2	0.488740672094867	-0.1	0.867900779867536	-0.2	0.378056618991004	-0.1	0.677920915816476	-0.1	0.603800562669626
ENSG00000001629	ANKIB1			0.2	0.194037771900765			0.1	0.654214644393334	0.1	0.643391884302847
ENSG00000001630	CYP51A1	-0.3	0.293559574548171			-0.4	0.256149911406948	-0.3	0.402483541875139	-0.5	0.213244619356321
ENSG00000001631	KRIT1	-0.2	0.0494844332540751							-0.2	0.141163860804872
ENSG00000002016	RAD52	-0.3	0.0206845196544383	0.1	0.613679722513971			-0.1	0.50126143555497	-0.3	0.0526662820728728
ENSG00000002330	BAD	0.1	0.76063152463754			-0.5	0.100478538660906	-0.2	0.68120786855021	-0.2	0.496077135820414
ENSG00000002549	LAP3	0.5	0.128067406568962			0.2	0.442161415491585	0.3	0.455313108763669	0.5	0.28289324388825
ENSG00000002586	CD99			-0.3	0.0139570741042428	-0.3	0.0225152482378872	-0.2	0.135845986302088	-0.1	0.531026057094616
ENSG00000002587	HS3ST1	-0.2	0.63230506364266	0.1	0.899333704867374	-0.2	0.478937331169715	0.1	0.819215398877647	-0.4	0.278185021808853
ENSG00000002726	AOC1	0.7	0.084664594997954	0.4	0.201571824590635	0.6	0.0874809575724312	1.1	0.0267789061540438	1.1	0.0429971268952568
